,IsLuxury
3438,0
701,0
2582,0
4250,1
2537,1
1398,0
3228,0
643,0
4268,1
2130,0
4886,1
1839,0
1019,0
6685,1
1891,0
2545,0
960,0
1042,0
1831,0
6977,1
6941,1
3905,1
1351,0
2048,0
6229,1
6056,1
2754,0
5704,1
1579,0
1040,0
1074,1
5795,1
6865,1
5965,1
2984,0
4665,1
4956,1
1456,0
5924,1
4554,1
2890,0
2704,0
6303,1
5144,1
244,0
959,0
6809,0
5792,0
434,0
5502,1
6735,1
4579,1
5129,1
2856,0
1751,0
4400,1
6213,1
477,0
711,1
5640,1
3282,0
1797,0
495,0
3568,1
4629,1
3813,0
2402,0
1272,0
4879,1
91,0
4539,1
6521,1
5164,1
563,1
5535,1
4411,1
6761,1
6940,1
1784,0
2060,0
1709,0
123,0
6750,1
2253,0
839,0
2010,0
3578,1
3649,1
3196,0
778,0
4220,1
1937,0
3385,0
857,0
4207,1
6351,1
1236,0
726,0
5705,1
3484,0
5268,1
2851,0
2023,0
275,0
5822,0
4649,0
40,1
329,0
4290,0
4463,1
6765,1
6897,1
3499,0
796,0
6686,1
6978,1
2404,0
6062,1
5132,1
1865,0
3610,1
4079,1
4569,1
4392,0
5049,1
3791,1
4437,1
6269,1
6393,1
610,0
3347,0
6995,1
560,0
6987,1
3073,0
1596,0
6983,0
4198,1
3709,1
5142,1
5456,1
2273,0
1776,0
2588,1
5231,1
100,0
4679,1
5627,1
5350,1
981,0
6084,1
3798,0
5915,1
5207,1
1240,1
3205,0
5035,1
5942,1
3331,0
4754,1
2068,0
2820,0
3501,0
6294,1
2039,0
3004,0
2949,1
5491,1
3242,1
5770,1
6133,0
2624,0
3259,0
205,0
1375,0
1006,0
6040,1
1847,0
2842,0
4253,1
3341,0
6187,1
2216,0
6249,1
2379,0
3420,0
5318,1
4683,1
4317,1
6764,1
1630,0
3595,1
4572,0
1916,0
2105,0
1352,0
735,0
6049,1
894,0
2733,1
4937,1
6256,1
646,0
2186,0
4405,1
6309,1
5239,1
6898,1
3530,1
1650,0
680,0
3868,1
2755,0
1296,0
6548,1
4843,1
518,0
4069,1
6555,1
5774,1
3733,1
1448,0
5450,1
5662,1
6626,1
5221,1
3376,0
1796,0
2663,0
2247,0
3692,1
2695,0
3186,0
4086,1
2718,0
4557,1
16,0
4093,1
2505,0
5817,1
2237,1
6938,1
1061,0
2067,0
6715,1
2363,0
1859,0
190,1
484,0
3163,0
6193,1
5566,0
1370,0
3979,0
6339,1
5228,1
6072,1
2378,0
2472,0
110,0
1055,0
5069,1
5513,1
2354,0
1601,0
232,0
1248,0
5733,1
1840,0
5002,1
4546,1
1914,0
6348,0
4589,0
4599,1
4058,1
933,0
1045,0
2932,0
3807,1
3630,1
37,0
1560,1
12,0
6401,1
5863,1
1387,0
597,0
4401,1
2720,1
3044,0
4479,1
1021,0
836,0
2501,0
2726,0
6917,1
4893,1
2578,1
5937,1
2497,0
6009,1
1963,0
6876,1
104,0
1764,0
4496,1
1134,0
1268,0
6333,1
3671,1
516,0
3461,1
926,0
2909,0
4494,1
5435,1
5492,1
4398,0
4774,1
4306,0
4555,1
6230,1
3264,0
3285,0
5420,1
1966,0
5476,1
4286,1
3553,1
6527,1
2735,0
678,0
5335,1
4390,1
1951,0
165,1
4265,0
5473,1
4389,1
2032,0
5791,1
2550,0
3990,1
1606,0
3014,0
230,0
3705,1
1845,0
1495,0
3456,0
3830,1
571,0
6567,1
1648,0
6762,1
1926,1
2586,0
3074,0
6907,1
1850,1
5155,1
1300,0
885,0
5143,1
6558,0
2308,0
3502,1
3555,0
322,0
11,0
17,0
5088,0
5576,1
6436,1
4099,1
3126,1
2155,0
5122,1
3258,0
3080,0
3779,1
579,0
19,0
1395,0
2901,0
4545,0
4161,1
5486,1
770,0
3731,1
6840,1
5297,1
6883,1
5130,1
494,0
5646,1
2854,0
1094,0
2796,0
6384,1
4757,1
5323,1
6460,1
6816,1
6637,1
2785,0
2963,0
2372,0
2318,0
86,0
4082,1
1655,1
1724,0
5738,1
2264,0
3100,0
480,0
4429,1
6404,1
2204,0
4642,1
5249,0
5154,1
2139,0
1044,0
5408,0
4897,1
6459,1
2879,0
6494,1
2226,1
2289,0
769,0
3,0
6622,0
1488,0
1419,0
5039,1
2284,0
1004,0
965,0
2128,0
1113,0
4304,1
3896,1
6599,0
4247,1
2185,0
4240,1
638,0
3465,0
921,0
1552,0
6709,1
1967,0
5884,1
3631,1
5211,1
2779,0
4784,1
5523,1
4228,1
6989,1
393,0
1634,0
270,0
551,0
1625,0
2954,0
5233,1
3682,1
422,0
2912,0
3878,1
6180,1
5518,1
703,0
3189,0
2600,0
4443,0
3053,0
5302,1
1666,0
1335,0
194,1
4146,1
3880,1
5913,1
659,0
3172,0
3745,1
361,0
2427,0
5319,1
6605,1
2717,0
1126,0
2274,0
1020,0
2266,0
2513,0
5673,1
771,0
13,0
3509,1
5778,1
5382,1
5615,1
2942,0
3081,1
133,1
2084,1
827,0
2951,0
4065,1
777,0
661,0
3026,0
4269,1
5697,0
4245,1
6627,1
622,0
4475,1
4706,1
227,0
1030,0
4507,1
5303,1
593,0
6097,0
4410,1
5766,1
4613,1
1922,0
443,0
358,0
6129,1
1293,0
998,0
6335,1
2332,0
3078,0
2886,0
4814,1
2006,0
191,0
893,0
4184,1
2999,0
2451,0
3504,1
3933,1
6513,1
6732,1
4515,1
256,0
6122,1
3991,1
6273,1
4637,1
5170,1
2294,0
1832,0
4052,1
1037,0
471,0
6692,1
6047,1
759,0
4817,0
851,0
5136,1
1364,1
6549,1
4032,1
891,0
4320,1
1715,0
5375,1
4446,1
5361,1
2147,0
3946,1
4984,1
335,0
1121,0
3522,1
2088,0
4214,1
2313,0
5564,0
1789,1
6763,1
4299,1
919,0
5741,1
2579,0
4741,1
4837,1
306,0
1249,0
3463,1
5737,1
2911,0
5284,1
4517,0
3626,1
6201,1
4067,1
3948,0
2236,0
710,0
4673,1
6537,1
2929,0
3834,1
5559,1
789,0
1012,0
6099,1
2699,0
6218,1
2112,0
6304,1
6505,1
2914,0
1587,0
1441,1
1613,1
1603,0
6981,1
5585,1
2746,1
316,0
4737,1
5134,1
6306,1
3786,1
330,1
3017,0
1673,0
5801,1
6338,1
1498,0
32,0
5480,1
4556,0
3869,1
4636,1
3277,0
4431,1
4200,1
3206,1
1438,0
6291,1
4980,1
1476,0
3071,0
663,0
2907,0
1010,0
1333,0
4319,1
3227,0
1141,1
2928,0
2049,0
2947,0
5051,1
5218,1
932,0
1608,1
6604,1
5859,1
6560,1
1140,0
6554,1
4845,1
5364,1
2107,0
2837,0
4727,1
772,0
5009,1
1533,0
1427,0
5955,1
3794,1
6954,1
3404,0
2625,1
6738,1
749,0
5891,0
83,0
5875,1
4492,1
128,0
2523,0
6769,1
1431,0
2182,0
1852,0
4709,1
4898,1
6824,0
5546,1
4646,1
522,0
1545,0
5238,0
2295,0
4468,0
1301,0
111,0
478,0
5904,1
4281,1
6331,1
657,0
3771,1
5555,1
4958,1
3622,1
3178,0
856,0
6278,1
4888,0
5651,1
5316,1
5385,1
1432,0
748,0
2030,0
4424,1
3455,0
2352,0
3298,0
2594,0
4073,1
5920,1
1919,0
4828,1
2878,1
6235,1
353,0
4543,1
107,0
6578,1
2985,1
120,0
364,0
6214,1
1644,0
3590,1
872,1
898,0
2673,0
4881,1
2752,0
5064,1
5106,0
6375,1
3875,1
4485,1
5028,1
4341,1
4008,1
2748,0
6145,1
1903,0
6974,1
5691,1
6741,0
1524,0
3272,0
6691,1
1960,1
2027,0
5972,1
4939,1
3308,0
6514,1
2902,0
4157,1
5360,1
4369,1
5896,1
55,0
5868,1
1261,0
2327,0
340,0
3473,0
3506,1
3035,0
1727,0
1325,1
4150,1
5707,1
2018,0
482,0
3811,1
5131,1
6751,1
4230,1
1810,0
3888,1
671,0
6458,1
6419,1
1421,0
4248,0
187,0
3039,0
6729,1
1477,0
6088,1
3747,1
2471,0
1802,0
6332,0
3636,1
1512,0
6710,1
3677,1
5147,1
3662,1
3812,1
236,0
4284,1
6497,1
4631,1
2359,0
5429,1
6267,1
5287,1
4301,1
6488,1
5659,1
4477,1
1444,1
1928,0
2894,0
468,0
5501,0
1649,0
5557,1
2133,0
3668,1
2611,0
418,0
1702,0
6784,1
3419,0
950,0
1129,0
3737,1
6065,1
2973,0
437,0
6557,1
2265,1
4356,0
6618,0
1436,0
2893,1
6093,1
6756,1
2823,0
4902,0
4130,1
534,0
821,0
1848,0
1571,0
5862,1
883,0
2382,0
3876,1
1417,0
1563,0
175,0
5304,1
1995,0
5849,1
2801,0
6607,1
6003,1
2634,0
6340,1
1542,0
2989,0
1433,0
4165,1
4883,1
4534,1
1646,0
630,0
2242,0
909,0
5802,1
1925,0
6389,1
4877,1
5612,1
5642,0
2416,0
6855,1
5902,1
64,0
6999,1
5644,1
619,1
3690,1
5760,1
216,1
3632,1
6014,0
6234,1
2527,0
6564,1
5508,0
6330,1
6112,1
5425,1
2132,0
4152,1
3350,0
460,0
6135,0
2007,0
6080,1
267,0
5796,1
3767,1
2873,0
2971,0
1521,0
679,1
4278,1
817,0
5100,1
4827,1
3998,1
4084,1
35,0
2282,0
3803,1
6202,1
1291,0
1,0
2399,0
4236,0
1752,0
4137,1
2761,0
4095,1
5301,1
2719,0
3920,1
4767,0
6659,1
4734,1
1103,0
561,0
5048,1
2014,0
880,0
3741,1
1787,0
2672,0
1008,0
2990,0
6647,1
6526,1
1426,0
1120,0
3511,1
5089,1
2166,0
3707,1
1195,0
5003,1
4521,1
2517,0
5204,1
1330,0
4484,1
5407,1
4380,1
6146,1
4821,1
6531,1
2659,0
1420,0
3597,1
2179,0
6839,1
3756,1
1721,0
2541,0
1231,0
4684,0
2206,0
396,0
6998,0
3656,0
6217,1
6433,1
4276,1
1535,0
6125,1
6198,1
3165,0
3987,1
3119,0
1959,1
613,0
290,1
4487,1
5606,1
990,0
3244,0
2360,0
5593,1
5107,1
5607,1
3988,1
3576,1
4469,1
2287,0
650,0
1559,0
2970,0
487,0
2573,0
3398,0
5213,0
1772,0
4583,1
2290,0
1678,0
345,0
1313,1
3431,0
6222,1
4598,1
852,0
6259,1
6731,1
92,0
4523,1
6836,1
6069,1
6228,1
2961,0
4865,1
794,0
5386,1
2440,0
6620,1
2316,0
3861,1
2390,0
3472,0
6448,1
6890,1
5139,0
702,0
1774,0
4966,1
3716,1
4801,0
3276,0
5001,1
2941,0
2743,0
5660,0
5016,1
825,0
3224,0
4748,1
4927,1
5833,0
1525,0
2491,0
4044,0
5181,1
3594,1
4486,1
5027,1
6742,1
430,0
4527,1
2543,0
6986,1
569,0
2249,0
4489,1
3225,0
1015,0
4779,1
6376,1
6645,0
1739,0
1128,0
2102,0
4809,1
320,0
5236,1
6378,0
4638,1
6264,0
4288,1
632,0
577,0
6004,1
2925,0
5090,1
1080,0
5114,1
4466,1
3849,1
6263,1
6598,1
5700,1
1855,0
4376,1
2426,0
1917,0
3770,1
6490,0
5086,1
983,0
6369,1
1675,0
785,1
5469,1
4728,1
2762,0
1973,0
3181,0
3720,1
6988,1
3735,1
500,0
5953,1
363,0
2117,0
2905,0
6871,1
1361,1
292,0
2583,0
3315,0
6668,1
6019,1
1682,0
93,0
5727,1
5247,1
5262,1
6662,1
5078,1
6958,1
2078,0
859,0
4329,1
279,0
5149,1
3816,1
2705,0
1939,0
4544,1
6653,1
1956,0
4655,1
3202,0
2437,0
5063,1
861,0
6028,1
938,0
2135,0
2056,0
6,0
1063,0
3761,1
5839,1
3841,0
4951,1
5633,1
224,0
4541,1
1523,0
2388,0
436,0
3665,1
6360,1
1043,0
1358,0
1826,0
3105,0
5022,1
602,0
6123,1
6900,1
4905,1
6575,1
1338,0
4853,1
4124,1
6385,1
1853,0
3886,1
768,0
1308,0
2079,0
2596,0
5794,1
5539,1
5861,1
1336,0
3765,1
4007,1
2104,0
3043,0
3833,1
1931,0
3327,0
2916,0
6870,1
2997,0
464,0
6171,1
568,0
725,0
4331,1
1818,0
1526,0
5030,1
1964,0
395,0
2279,0
5754,1
660,0
813,0
2101,0
1143,0
1035,0
3942,1
25,0
1823,0
4097,1
2457,0
6920,1
6292,1
3467,1
1815,0
6699,1
3107,0
5500,1
1962,0
1765,0
773,0
4026,1
3835,1
5725,0
3960,1
6819,1
1153,0
201,0
5538,1
2070,0
1986,1
4312,1
5113,1
5123,1
6894,1
5808,1
5199,1
6568,1
5362,1
790,1
2346,0
139,0
1886,0
338,0
260,0
36,0
719,0
4513,1
5586,1
6772,1
4350,1
376,0
2525,0
3642,1
620,0
2653,0
3147,1
4211,1
1107,1
2618,0
302,0
1075,0
5992,1
5643,1
6120,1
6311,0
4714,0
362,0
6063,1
1565,0
3531,1
5187,1
733,0
953,0
481,0
6937,1
2474,0
272,0
6183,0
6893,1
2881,0
6918,1
4046,1
5169,1
6316,1
709,1
5903,1
5261,1
4013,1
2849,0
4445,1
2861,1
130,0
5431,1
2950,0
5599,1
5526,1
4723,0
1365,1
490,0
4771,1
89,0
1635,0
1992,0
3865,1
351,0
2234,0
3075,0
1218,0
3789,1
6073,1
3925,0
1942,0
399,0
875,0
6116,1
6969,1
1049,0
4500,1
1821,0
1100,0
6124,1
4381,1
2024,0
3475,0
6882,1
137,0
3113,0
421,0
5812,1
1401,0
4800,1
2083,0
963,0
3808,0
3211,0
1101,0
5901,1
5495,1
2515,0
6017,1
2535,0
2738,0
5068,1
435,0
4907,1
2303,0
5820,1
829,0
788,0
4770,1
5219,1
4749,1
4887,1
456,0
5684,1
2073,1
3060,1
4647,1
1451,1
3176,1
3581,1
1105,0
5597,1
1770,0
398,0
6347,1
797,0
3658,1
6841,1
6696,1
3220,0
5806,1
4974,1
3409,0
1458,0
1664,0
1334,0
755,0
65,0
177,1
1747,0
6432,1
4143,1
4140,1
26,0
3051,0
525,1
5397,1
3301,0
4535,1
4300,1
5242,1
2369,0
3663,1
4023,1
664,1
3941,1
3229,1
4605,1
2456,0
1221,0
1742,1
4884,1
332,0
5871,1
5999,1
3891,1
5093,1
598,1
4895,1
5266,1
2434,0
5962,1
1459,0
146,0
1415,0
739,0
3823,1
228,0
3076,0
6666,1
498,0
7,0
1977,0
902,0
4686,1
3379,0
5244,1
5563,1
370,0
4844,1
2365,0
2701,0
6034,1
1237,0
3643,1
3286,0
1932,0
5616,1
1219,0
949,0
1717,0
2183,0
4030,1
2576,0
2325,0
3585,1
5506,1
138,0
5578,1
2017,0
251,0
3784,1
5683,1
1090,0
2016,0
3372,0
4875,1
4305,1
3846,0
5786,1
912,0
2863,0
2415,0
4471,1
1281,0
2682,0
5447,1
2307,0
2118,0
911,0
4442,1
3432,0
5779,1
2158,0
3584,1
2670,0
3450,0
1241,0
1089,0
2977,1
4194,1
158,0
1708,0
2425,0
936,0
5112,1
1829,0
6037,1
6593,1
1250,0
6807,1
1108,1
6635,1
736,0
3604,1
3448,0
954,0
3155,0
5638,1
283,0
6992,1
2753,0
3245,0
2066,0
1978,0
3974,0
1792,1
5391,1
6641,1
6242,1
5773,1
4185,1
3197,0
4889,1
2005,0
4667,1
6642,1
2475,0
4193,1
2787,1
6386,0
3826,1
5021,1
892,0
2644,0
6877,1
5185,1
4573,1
4563,1
1725,0
5116,1
2051,0
6322,1
242,0
5600,1
3951,0
6444,1
2046,0
3900,1
403,0
6491,1
50,0
6113,1
4089,1
4229,1
5312,1
558,0
2774,0
4793,0
1208,0
5166,1
1151,0
9,0
3755,1
1707,1
2593,0
4777,1
5829,1
1614,0
1071,0
6889,1
5402,1
6656,1
716,0
1896,0
6359,1
3262,0
3444,0
4175,1
4425,1
2123,0
318,1
5042,1
4133,1
1672,1
5118,0
4645,1
4128,1
3635,1
427,0
3426,0
4158,1
2536,0
5161,1
2591,1
546,0
5404,1
262,0
254,0
2533,0
6961,1
666,1
6106,1
171,0
1176,0
5084,1
3125,0
1482,0
1906,0
4695,1
4850,1
5534,1
1900,0
3343,0
693,0
4309,1
6105,1
6649,1
4314,1
2115,0
4674,0
6590,1
2096,0
4168,1
4731,1
4857,1
781,0
4504,1
6625,1
3935,1
541,0
4804,1
5234,0
520,0
4028,1
2678,0
5928,1
3818,1
6811,1
2728,0
882,0
5674,1
6067,1
6247,1
5562,1
5037,1
6921,1
6142,1
1171,0
4203,0
3158,0
1446,0
4476,1
4092,0
2636,0
2838,0
3422,0
3192,0
1329,0
3757,1
6804,1
6768,1
4577,1
75,0
4478,1
826,0
6985,1
6196,1
2194,0
4758,1
5759,1
1466,0
2665,0
3783,1
5128,1
2387,0
4716,1
6499,1
4516,1
5724,1
945,0
2190,0
6852,1
842,0
6207,1
4726,1
470,0
4192,1
2872,0
5973,1
3016,0
122,0
1592,0
3329,0
225,0
5509,1
2803,1
1856,0
4863,1
6785,1
2677,0
6445,1
3077,0
845,0
572,0
2356,0
5237,1
5804,1
3179,1
3232,0
3672,1
2481,0
154,0
476,0
4668,1
3710,1
4399,1
3087,0
1690,0
278,1
526,0
5104,1
6157,1
4950,1
6945,1
1087,0
6161,1
382,0
1099,0
4273,1
5135,1
2530,0
3237,0
4775,0
5182,1
5071,1
6572,1
918,1
3032,0
207,0
5934,1
4712,0
3168,0
3401,0
4968,1
6117,1
4989,1
3739,1
6026,1
1215,0
297,0
1490,0
527,1
6134,1
442,0
2120,0
3532,1
3732,1
3529,1
1138,0
4387,0
536,0
5193,0
6849,1
5368,1
5679,1
2374,0
3523,1
6657,1
5604,1
4441,1
3416,0
1836,0
3373,0
2453,0
5259,1
167,0
2008,0
6417,1
47,0
2201,0
3689,1
4685,1
397,0
1507,0
4295,1
2612,0
2004,0
5776,1
5378,1
6302,1
6215,0
986,0
6654,1
6394,1
1434,0
2532,0
6518,1
237,0
2119,0
2286,0
5680,1
2114,1
1104,0
1782,0
802,0
6020,1
6705,1
3641,1
2421,0
5723,1
3084,0
3976,1
5592,1
1737,0
5081,1
347,0
3730,1
3887,1
5882,0
6136,0
4932,1
34,0
2245,0
3247,0
4078,1
1468,0
5899,1
6163,1
564,0
4829,1
5781,1
3778,1
74,0
855,1
309,0
1780,0
282,0
4371,1
6237,1
3306,0
547,0
1945,0
3754,1
6288,1
4117,1
1570,0
2581,0
1158,0
1680,0
720,0
291,0
2931,0
540,0
465,0
2232,0
1036,0
4822,1
4397,1
1047,0
4104,1
5790,0
2315,0
4954,1
4502,1
6603,1
3921,1
60,0
1599,0
6973,1
1189,0
3536,1
5522,1
4930,1
3564,1
5954,1
6456,1
2443,1
3215,0
615,0
535,0
5570,1
6281,1
3402,0
4510,1
4351,1
4824,1
581,0
3485,0
4549,1
195,0
1263,1
172,0
4766,0
2822,1
3740,1
5347,1
3457,0
2870,0
2569,1
924,0
2750,0
1013,0
5355,1
6283,1
1173,0
1562,0
2597,0
3495,0
1641,0
4657,1
5343,0
6776,0
3498,0
1430,0
1760,0
4426,1
4656,1
6569,1
5985,1
78,1
604,0
1239,0
5370,1
415,0
5366,1
3021,0
6143,1
982,1
1164,1
1779,0
5874,1
6574,0
4049,1
5252,1
5411,1
586,0
595,0
1811,0
812,0
1949,0
3118,0
6678,1
1167,0
4444,0
1930,0
3801,0
4796,1
4630,1
220,0
5321,1
1065,0
5442,1
1692,0
4432,1
4323,1
2013,0
6601,1
3357,1
5293,1
774,0
3383,0
305,0
3552,1
2959,0
439,0
713,0
6412,1
223,0
3157,0
3549,1
5426,1
1024,0
6480,1
1082,0
2727,0
4503,1
2293,0
734,0
1674,0
4339,1
4925,1
3256,0
6087,0
3844,1
3190,0
5379,1
3378,0
6858,1
2113,0
3255,0
1643,0
357,0
530,0
6743,1
5082,1
1093,0
3560,1
3185,0
4632,1
5422,0
6646,1
5449,1
5478,1
2337,0
4081,1
5180,1
3503,1
6916,1
4560,1
6220,1
5200,1
6739,1
4428,1
1858,0
5974,1
6823,1
2424,0
3620,1
6233,0
6806,1
1366,0
414,0
3586,1
2330,0
3582,1
6580,1
2697,0
5625,1
5210,0
3958,0
6534,1
4995,1
6438,1
508,0
4904,1
6778,1
2448,0
1781,0
3616,1
6485,1
4436,1
5198,1
4252,1
3685,1
5117,1
1402,0
2818,0
1872,0
6286,1
180,0
4012,1
4566,1
2173,0
2778,0
5925,1
3884,1
87,0
4856,1
6190,1
539,0
3446,0
4691,1
4062,1
4697,1
3279,0
4178,1
4876,1
41,0
5980,0
5932,1
6831,1
2846,0
2930,0
6846,1
5746,0
2383,0
1391,0
4149,1
387,0
1863,1
1327,1
6701,1
5753,1
6888,1
5484,1
1801,0
1955,1
6149,0
4799,1
2595,0
747,0
764,0
5864,1
4155,1
4690,1
5824,1
765,0
1270,0
6611,0
3699,1
2703,0
5475,1
5177,1
151,0
1032,0
2508,0
1442,0
4836,1
346,0
3468,0
6853,1
2630,0
1670,0
5272,1
4332,1
3307,0
706,0
5648,1
6452,1
3434,0
5735,1
3670,1
1400,0
3159,0
2240,0
6848,1
4183,1
521,0
6341,1
5682,1
4462,1
6328,1
1201,0
6373,1
5816,1
584,0
6492,1
1509,0
3624,0
3466,1
6842,0
5073,1
1142,0
4670,1
10,0
3510,1
3518,1
1658,0
2964,0
3006,0
5430,1
2671,0
3269,0
2099,0
3793,1
5887,1
3573,1
3213,0
3857,1
3366,0
4070,0
2276,0
1408,0
6609,1
5050,1
6483,1
3387,0
2910,0
1647,0
4625,1
688,0
3355,0
