,Price
763,201297.8057
1662,230289.9546
6752,330865.3714
3493,274502.3597
2896,212914.6987
3969,576752.4502
1017,161195.7912
5504,358034.3549
337,167488.2899
592,214647.8654
3204,107785.5137
4144,293232.5093
3984,285337.659
2347,133591.3704
4750,335873.3856
206,105508.9037
1424,262216.334
3829,455238.6954
3500,402358.3158
4172,409934.7182
4360,385144.7233
3496,238872.9863
3334,261299.0612
2839,270220.6987
6111,474816.6255
6614,500787.2489
3041,198609.3865
6976,347152.0922
5146,303217.004
102,165266.5131
5888,391558.7268
2076,179602.2797
1357,202463.8609
4899,448231.5409
589,155727.5636
4017,376791.9595
3305,167792.6953
6058,522258.1523
2688,98622.30842
1228,277537.2027
6421,313537.9701
289,147636.2983
6060,316529.5757
6086,345705.3279
1758,164903.4879
3318,159865.7763
2408,134686.002
5879,461667.4612
3821,463435.9881
5165,456311.9426
2176,195818.9389
5041,404306.4957
2012,192649.9063
3729,356002.4758
2159,111416.3788
3600,288481.2046
5333,333916.3553
4221,380664.6365
6414,523957.4089
5285,423341.9493
1915,98378.32224
958,110274.9103
2263,176432.5786
1394,227283.5277
2966,273449.9487
2764,212091.3363
6745,442071.1893
4267,501703.1151
4106,288084.4238
5467,311596.6105
1091,221361.2166
1899,186234.3612
2645,230016.2448
5496,422578.4358
192,250219.6031
3847,466229.3639
3191,149978.7022
5327,420255.3959
2229,119563.1348
6508,334002.7703
3128,252095.495
1881,90122.38554
4960,413218.8644
1310,124414.6586
6812,542507.0004
3489,133318.193
3382,119164.7362
5978,380646.3154
1719,119066.8326
5337,301123.5065
238,116963.4581
304,218988.0487
5996,335982.5127
6640,535835.6644
1676,228529.6801
3218,229907.5308
3469,187995.7479
4688,445814.9881
5685,472890.0803
2304,203869.5816
3939,361398.7754
4297,421138.8424
3983,293640.4683
6211,317898.9263
2639,175313.6982
4103,728016.4966
4581,484933.0256
5000,320741.1933
2945,265068.4697
5799,357928.3393
4847,364331.1886
783,224349.0624
6184,314192.9593
392,146561.8749
2407,155146.8993
4941,406174.3374
2836,108935.8619
1929,237038.4748
4119,434637.2054
6427,354541.3626
5818,347973.3019
3693,343701.8081
280,131037.3002
1026,144233.9454
557,165341.6144
1463,180323.8538
1669,179790.1416
3657,619118.0958
1255,228408.6537
2804,151940.0427
3137,208725.8216
5895,286409.3475
1016,273089.5777
4315,423641.3572
6722,326597.9895
5543,361201.223
5669,356569.8677
3828,431107.0448
5111,347294.6279
2983,94483.75069
4621,404832.6191
6754,442991.002
2694,201442.1326
1768,225175.9645
1403,227842.6556
6314,355415.1088
4781,377492.2962
6906,392213.2671
846,199637.143
5156,372771.7711
779,220243.667
5921,680967.5893
5843,376806.9077
4498,294738.4393
1396,136278.2019
4344,514204.7866
931,180729.6457
4608,287015.2723
5692,362768.9649
1238,161999.2888
5328,287178.9815
1011,269629.0388
6403,342875.1627
3577,573083.1594
1642,118517.5122
6753,476570.3733
5270,362917.3377
1386,196806.3385
3015,152661.8792
2857,96016.41834
4167,625386.2148
2807,192709.4402
4206,666148.7699
4108,353166.4
6315,527805.1623
2623,239397.9238
6155,334194.8309
2488,107330.1073
5732,714083.0738
4580,298444.3614
854,211407.4124
5263,362063.8721
2366,231689.9809
1453,264529.5677
537,228217.1805
1710,91512.09051
1697,134447.8725
2406,230285.191
3762,469779.5525
5257,429467.2941
3411,167799.645
4071,322496.1499
5511,389062.31
6854,571602.0232
3678,315392.5697
6767,370626.9651
4260,282994.8668
6874,315159.8112
3571,302758.8424
6279,462394.7906
3738,706274.9596
4977,297070.034
2675,123038.9836
4604,516020.9028
367,187888.8282
804,144597.4335
4482,389936.9527
4190,478875.1957
3953,444298.2849
4991,336669.2537
566,138522.2516
3607,680379.2709
2685,126155.5558
6366,400419.9643
5840,307637.3231
1577,102367.7436
6216,335335.0951
507,144362.9708
5183,431617.4945
2351,257606.4882
159,240135.3011
98,278794.3901
5309,384186.1217
4402,297768.4233
1198,137343.7992
667,235650.3565
858,243122.8524
246,205001.7894
6980,571526.5617
5929,549795.928
1549,134947.6784
996,251772.1898
3667,285884.5054
3207,244850.0049
6439,364516.1464
4762,326000.9774
5471,368115.7688
5675,429324.1729
2809,129329.3717
6150,354469.5273
6667,525938.1543
1381,120464.7704
6474,465446.4607
4826,920902.0168
6851,309935.7079
5544,414159.8518
4147,436083.1742
4924,290268.5031
6510,392732.8557
6683,312620.9171
556,264350.6073
3924,565300.7513
1406,135155.6964
993,228969.0716
5797,313837.4258
5392,395372.1412
4769,302975.6561
2847,262097.6178
4558,306692.7456
4016,488512.0736
5702,396534.8625
791,127798.6831
5821,424931.799
5752,354230.9295
2852,251560.2403
995,224104.3
4068,367459.4312
3652,451607.1293
4040,482770.4988
934,176736.1332
3836,300628.8077
1954,233473.433
1783,222198.5451
2355,246889.3273
1734,113695.6907
700,279742.0998
5537,678856.1535
2098,119060.3116
2692,120438.0192
344,129485.9721
6757,359154.4452
6821,353477.4283
2394,210373.8428
2739,222777.0701
1081,195395.1853
4257,544101.1038
3273,178030.8073
6181,507185.9231
850,271855.1818
4719,712252.1894
4148,290249.893
524,229002.2247
6005,444323.1819
2687,115076.6196
4107,324219.1165
323,214815.5527
5162,277702.0739
5367,296999.248
2740,214878.8232
4277,547121.0113
1893,225008.3958
4659,387699.8519
3253,261627.3172
4002,533299.9959
3525,600382.1171
5290,432760.687
5,224973.4118
1729,263158.5823
6336,407330.3591
1297,259902.1156
3142,227345.9975
4076,445634.9722
3201,154724.0955
6581,369749.0723
4239,333524.6641
6238,353152.4661
6031,749067.4694
616,173493.5874
575,149941.6077
3612,640559.025
3351,273656.1229
976,192521.6106
3645,299791.0386
639,209297.3314
4906,373249.1694
2539,168330.4741
3676,529431.1245
5713,287456.6726
5311,316375.6638
1828,184235.5417
3281,243174.9977
5260,461501.3745
5865,326625.5843
1179,200388.3774
288,151679.9536
513,245653.9598
5798,409191.0991
1385,160522.178
5581,545669.8696
987,269777.4651
432,192413.1469
4591,420809.5649
588,237342.1587
3397,188010.3433
3022,255647.7753
6808,355520.0706
3922,411710.1671
847,101198.7549
2567,93232.90803
4511,489571.0562
62,139014.6639
2136,188684.9683
1225,129968.5095
2340,229955.6612
4324,625032.5031
2459,144485.8132
108,191370.9394
517,132210.7474
4497,583243.3208
5255,293738.7038
5055,324138.1524
3916,368673.76
1621,279416.6081
757,208835.2267
3743,446114.0807
1039,196232.7393
6535,650641.7431
3909,300227.2395
5946,458217.5708
3625,348718.2566
1437,123995.3891
5232,308965.5601
348,225040.9524
1566,161126.4561
3697,332770.3718
2106,267076.1749
1833,276852.617
4736,467746.1389
1413,191567.1324
3985,300974.5539
2349,256992.6982
3438,186141.0781
701,175781.7126
2582,199811.224
4250,395125.7018
2537,214842.9478
1398,267189.6762
3228,215340.6198
643,143619.0809
4268,356015.9725
2130,103526.004
4886,311390.3588
1839,214596.5987
1019,189832.326
6685,502126.3337
1891,235267.7873
2545,232159.3765
960,135753.3354
1042,130851.447
1831,153829.4032
6977,300868.3153
6941,550909.8705
3905,480624.165
1351,148852.0295
2048,179268.8229
6229,280418.7304
6056,306825.0784
2754,260065.2432
5704,362651.1463
1579,273513.7158
1040,254573.7199
1074,264375.9423
5795,402016.5032
6865,385473.4938
5965,287899.8958
2984,208902.9946
4665,320724.4831
4956,354263.9805
1456,185506.6524
5924,338282.5032
4554,369374.0785
2890,166627.0444
2704,120767.8679
6303,363786.1727
5144,405334.8917
244,191146.8081
959,180908.3476
6809,311418.5885
5792,299295.496
434,217034.6345
5502,557539.1088
6735,297282.1405
4579,493358.2648
5129,319119.9513
2856,109675.7564
1751,113258.5348
4400,314192.7979
6213,506110.3169
477,146992.1027
711,108352.0404
5640,391146.0655
3282,169074.9645
1797,141570.5959
495,239890.6814
3568,365858.4583
4629,289809.1616
3813,454144.7834
2402,182897.1964
1272,111889.5615
4879,325744.8575
91,223958.261
4539,601100.0146
6521,643648.7488
5164,454508.5205
563,138710.3964
5535,282289.0209
4411,494321.5561
6761,471910.8547
6940,538563.3249
1784,275672.8901
2060,250967.0996
1709,223236.2557
123,168159.7604
6750,481834.7107
2253,278155.1053
839,262996.8434
2010,259050.8582
3578,279091.9309
3649,303263.1002
3196,180264.3626
778,106382.0395
4220,339846.8397
1937,157016.0229
3385,237931.6911
857,208764.2546
4207,362897.7455
6351,419388.5804
1236,140764.7725
726,204763.8543
5705,311283.1048
3484,122075.175
5268,295674.2272
2851,129585.866
2023,272714.9805
275,142999.6151
5822,334952.6535
4649,530379.033
40,276257.7839
329,242803.9532
4290,410111.4298
4463,717578.6979
6765,390564.6804
6897,568904.4179
3499,274124.9918
796,157692.2378
6686,474085.9329
6978,593545.3229
2404,139008.7115
6062,435240.8127
5132,439467.0557
1865,216085.2785
3610,488214.642
4079,507058.1517
4569,435506.5116
4392,287045.0396
5049,434388.6594
3791,597585.9219
4437,568980.2354
6269,539870.7988
6393,332210.8691
610,216188.775
3347,259037.9951
6995,307821.1758
560,228252.0107
6987,604405.5801
3073,184006.5948
1596,98659.48993
6983,410758.1669
4198,309996.9726
3709,572622.5536
5142,480231.0677
5456,471933.5698
2273,262486.264
1776,274644.6068
2588,121606.9623
5231,524675.272
100,123287.2506
4679,326008.5763
5627,317634.0889
5350,288525.3515
981,174200.3734
6084,539177.061
3798,373177.5445
5915,616912.2781
5207,511810.7553
1240,136933.4009
3205,162537.203
5035,426242.3791
5942,906660.2127
3331,231084.943
4754,288465.6413
2068,268660.3877
2820,120748.6048
3501,396428.1539
6294,293761.9376
2039,260869.6178
3004,202639.4567
2949,119291.0091
5491,338592.5273
3242,160221.4031
5770,389877.9007
6133,329826.5374
2624,209259.0513
3259,129388.4959
205,113473.0186
1375,196674.5108
1006,175174.4727
6040,560155.638
1847,199859.2865
2842,210881.4665
4253,284206.287
3341,266952.8137
6187,334089.7381
2216,107024.1718
6249,355808.5467
2379,212457.828
3420,144709.6254
5318,668529.4837
4683,504855.9148
4317,435343.9722
6764,281770.5456
1630,158471.7514
3595,313587.0135
4572,400585.8474
1916,186989.4931
2105,129891.1783
1352,217285.9195
735,250347.5042
6049,333119.4581
894,113269.523
2733,277979.9734
4937,384736.5234
6256,333607.6898
646,144028.1652
2186,183257.9263
4405,299223.8467
6309,317966.9791
5239,294636.4247
6898,607207.4653
3530,562151.053
1650,260376.9672
680,260584.5972
3868,417501.9437
2755,208988.7246
1296,134853.855
6548,519811.7034
4843,323956.1211
518,195405.9082
4069,657864.6024
6555,299567.9959
5774,302551.636
3733,480345.5749
1448,133859.3801
5450,484487.3022
5662,286553.1414
6626,293910.6065
5221,323691.9893
3376,146398.0981
1796,114167.367
2663,151906.6702
2247,242997.8024
3692,508240.4454
2695,123788.0536
3186,144716.443
4086,468592.981
2718,143713.339
4557,411731.8548
16,225509.6491
4093,334675.3086
2505,266370.7393
5817,524566.7559
2237,225360.6897
6938,454826.7298
1061,211893.0017
2067,264995.9968
6715,490977.0892
2363,162277.0033
1859,189418.2463
190,105223.5852
484,232339.2558
3163,255087.7075
6193,662104.8113
5566,402303.617
1370,146371.1001
3979,327347.9656
6339,316030.1699
5228,311117.3515
6072,333602.0722
2378,277380.0021
2472,254303.635
110,234433.7794
1055,254496.061
5069,547127.7194
5513,642582.8348
2354,216351.837
1601,156967.4791
232,142984.178
1248,196851.6501
5733,662675.9344
1840,194450.1547
5002,424385.0666
4546,411337.1456
1914,221072.3475
6348,386911.5083
4589,624102.7058
4599,315406.1737
4058,417551.268
933,161529.1313
1045,204657.2539
2932,275767.8705
3807,304780.9044
3630,322889.1985
37,95866.28932
1560,182803.6484
12,166751.417
6401,382986.1356
5863,388822.7101
1387,150632.6472
597,245490.2744
4401,353772.6133
2720,173457.2007
3044,118121.6059
4479,476783.0867
1021,219950.3383
836,244689.5845
2501,229550.2489
2726,150168.9155
6917,421053.4107
4893,346701.7911
2578,193930.913
5937,367594.2369
2497,229454.0694
6009,293707.9213
1963,193579.1699
6876,640135.6395
104,270178.5985
1764,250129.0723
4496,321069.5453
1134,234719.5722
1268,238343.9376
6333,399436.5842
3671,280856.0706
516,182090.5999
3461,112541.3418
926,117545.4523
2909,241788.0642
4494,306055.4089
5435,469224.3919
5492,380038.2127
4398,307315.345
4774,736758.1445
4306,513827.4323
4555,303540.4506
6230,631525.8582
3264,237511.6102
3285,203871.3077
5420,475695.0762
1966,152467.1669
5476,595309.7115
4286,525491.7565
3553,622313.4809
6527,336254.8191
2735,267840.791
678,211150.8233
5335,519792.0075
4390,414459.5702
1951,165834.1971
165,190929.7288
4265,316637.9282
5473,298156.0984
4389,355056.4582
2032,165098.0202
5791,322811.1839
2550,196541.7694
3990,705360.8368
1606,124956.8317
3014,180247.7314
230,115547.1564
3705,384097.6603
1845,159265.5551
1495,108553.5522
3456,129900.059
3830,417832.9095
571,154994.5258
6567,309856.2555
1648,261564.5218
6762,352518.6373
1926,95779.76584
2586,202100.7793
3074,195998.6689
6907,301973.537
1850,269865.6223
5155,369965.2966
1300,113282.0931
885,208455.2275
5143,597680.795
6558,599447.9391
2308,148922.7213
3502,394620.5868
3555,363985.391
322,146353.5765
11,265452.2969
17,194451.5922
5088,284982.2862
5576,411243.601
6436,413615.4089
4099,372061.6469
3126,146397.9284
2155,145942.1369
5122,439592.108
3258,150242.8915
3080,116731.4427
3779,311591.5511
579,197713.3609
19,110465.3245
1395,95433.65204
2901,227140.276
4545,326028.4247
4161,524598.9768
5486,606667.6084
770,198478.5025
3731,342049.4357
6840,398883.5375
5297,311145.2758
6883,599838.2651
5130,319925.1832
494,124117.4428
5646,407982.6534
2854,210121.9913
1094,126134.1796
2796,257554.7764
6384,363405.0405
4757,541159.5156
5323,467961.8684
6460,658491.9519
6816,542916.9681
6637,606509.3188
2785,103964.3977
2963,129571.1343
2372,137536.1443
2318,206316.8392
86,194915.0189
4082,886794.5153
1655,134910.6406
1724,171882.397
5738,329824.8013
2264,194376.8764
3100,174607.7591
480,166416.1392
4429,415416.769
6404,429663.1204
2204,227419.5738
4642,380750.5958
5249,344358.9229
5154,342150.0252
2139,127143.9214
1044,274558.259
5408,562266.5537
4897,281655.736
6459,322391.3847
2879,188074.8765
6494,298431.5825
2226,173809.6441
2289,241318.3675
769,214337.2408
3,151361.7125
6622,434991.6789
1488,180330.4983
1419,166197.9713
5039,510530.1082
2284,136448.261
1004,248034.4002
965,226301.7403
2128,202442.6815
1113,124085.0562
4304,506058.193
3896,387589.0129
6599,324782.6328
4247,286534.2868
2185,219833.9251
4240,553869.8339
638,127115.2583
3465,263369.584
921,268709.6545
1552,271564.8979
6709,495641.0722
1967,99606.59665
5884,370207.3866
3631,340631.8618
5211,484590.9808
2779,222701.3807
4784,351781.2559
5523,402845.5918
4228,481402.8049
6989,366024.79
393,266026.8228
1634,207397.7233
270,120021.2617
551,209281.8858
1625,166249.1423
2954,88580.3812
5233,288967.6594
3682,523759.2625
422,207601.5597
2912,163683.9944
3878,317603.9583
6180,451632.5014
5518,543138.2959
703,187676.757
3189,217689.4574
2600,259413.2253
4443,347310.3844
3053,227420.7281
5302,339933.3714
1666,181631.6169
1335,153653.6431
194,175921.5956
4146,419409.8298
3880,388797.7139
5913,324846.9354
659,139812.5241
3172,248951.658
3745,644478.1921
361,254576.9433
2427,134650.013
5319,410850.8706
6605,582712.1101
2717,168620.4161
1126,227591.673
2274,158445.3716
1020,252967.1785
2266,255525.2587
2513,258466.8909
5673,287733.2059
771,111084.7262
13,102571.8795
3509,352825.9544
5778,380776.593
5382,453237.3277
5615,830152.1566
2942,190240.4202
3081,268212.9448
133,277678.3584
2084,170322.2309
827,253944.4545
2951,179729.0412
4065,378924.1605
777,228840.023
661,270014.2551
3026,231746.2944
4269,624890.7904
5697,289139.7318
4245,345417.8795
6627,547065.5475
622,201689.7868
4475,419463.4383
4706,294640.9241
227,121486.5873
1030,175804.0395
4507,284396.0632
5303,345373.5712
593,168317.69
6097,399496.7421
4410,577241.146
5766,315163.4511
4613,408043.3866
1922,206800.5647
443,168716.8081
358,232290.5139
6129,308251.633
1293,186967.2311
998,168745.4268
6335,531828.5757
2332,186449.6369
3078,277255.8684
2886,107662.5961
4814,690817.5719
2006,202350.4343
191,179111.0641
893,260976.6665
4184,466401.4281
2999,139237.1177
2451,249996.7756
3504,463808.856
3933,433475.4898
6513,341753.2277
6732,415496.8971
4515,370321.2777
256,182105.3596
6122,312146.1179
3991,678290.7408
6273,329881.689
4637,592175.603
5170,373653.4927
2294,181675.5726
1832,196204.535
4052,573344.3516
1037,138399.473
471,248789.3322
6692,379303.0371
6047,435340.0265
759,161024.8989
4817,504143.4412
851,256768.3487
5136,317260.1668
1364,248833.4473
6549,499241.8291
4032,580749.5254
891,98837.63349
4320,306037.9859
1715,205880.9663
5375,450940.4019
4446,361413.9078
5361,340383.2043
2147,245986.2987
3946,557080.2338
4984,340979.9018
335,164784.6152
1121,218757.1645
3522,470536.3101
2088,183678.3238
4214,347521.6518
2313,146184.7259
5564,336364.0082
1789,104947.8917
6763,410941.3399
4299,377484.9406
919,144270.6511
5741,333650.2829
2579,166618.3744
4741,332887.2554
4837,421852.2768
306,123699.6303
1249,267725.9216
3463,207873.7325
5737,313710.4687
2911,272577.9414
5284,342576.4266
4517,329619.015
3626,336313.9307
6201,455322.6958
4067,764946.4291
3948,329310.4682
2236,136992.0677
710,263726.3798
4673,390128.7501
6537,474003.1369
2929,176903.5143
3834,463689.7188
5559,527035.421
789,163205.7631
1012,222458.8726
6099,359337.9394
2699,149223.0861
6218,648805.0138
2112,93883.51932
6304,605073.6116
6505,335517.7029
2914,248774.6128
1587,200818.954
1441,247780.4737
1613,231360.7667
1603,232294.47
6981,284968.1098
5585,763219.162
2746,279893.0825
316,138736.0991
4737,336706.1569
5134,293923.001
6306,476261.3868
3786,414012.7775
330,126372.039
3017,269142.4041
1673,243254.6491
5801,382816.8382
6338,579785.4694
1498,215180.9302
32,215120.723
5480,343577.4217
4556,285480.6974
3869,623993.8792
4636,626317.161
3277,273380.3483
4431,559482.5761
4200,380932.1843
3206,164309.6409
1438,234034.0348
6291,365333.5173
4980,564164.8118
1476,236852.6988
3071,155116.99
663,271942.7666
2907,117408.8394
1010,188922.9338
1333,134058.0544
4319,297423.1277
3227,262084.584
1141,108849.7826
2928,175483.1363
2049,119043.1142
2947,205784.669
5051,340659.8218
5218,292366.4056
932,239329.0829
1608,234147.3865
6604,297714.1583
5859,327068.3617
6560,311205.1828
1140,115818.4461
6554,535479.8648
4845,655655.4963
5364,351210.4303
2107,118334.6332
2837,224359.4159
4727,836990.2311
772,257575.6003
5009,509492.6003
1533,137469.2588
1427,237801.2117
5955,397818.3873
3794,612273.691
6954,591930.0137
3404,150126.3934
2625,152547.8006
6738,521028.8945
749,181478.3887
5891,574331.2741
83,111387.8426
5875,334716.2929
4492,295544.7864
128,231368.8227
2523,272444.5384
6769,767721.1084
1431,146466.797
2182,158408.4042
1852,253671.3641
4709,410816.4987
4898,343937.572
6824,343455.0967
5546,436686.29
4646,283605.4848
522,100174.4082
1545,201340.6777
5238,409291.9788
2295,229348.9249
4468,396505.3981
1301,96440.51245
111,218544.2298
478,158116.3485
5904,300301.079
4281,328992.1202
6331,305326.2732
657,204501.6496
3771,481902.0478
5555,569354.2613
4958,281771.1895
3622,288106.0885
3178,168251.1936
856,145164.6243
6278,380952.6277
4888,570597.1907
5651,412716.6364
5316,491887.0762
5385,423416.6083
1432,244151.4962
748,110454.7642
2030,264419.6829
4424,317864.72
3455,216655.028
2352,211272.5621
3298,215967.2741
2594,164491.9501
4073,706219.0713
5920,625244.5246
1919,149402.0683
4828,285677.2102
2878,160605.5604
6235,668770.8501
353,251984.0737
4543,320741.123
107,142639.1425
6578,482068.3311
2985,118735.8676
120,224462.6259
364,237318.6527
6214,731287.7622
1644,247749.1269
3590,379709.2558
872,115615.3203
898,194645.6957
2673,122909.3313
4881,482163.9382
2752,245250.8451
5064,702377.449
5106,448776.4174
6375,294734.4667
3875,374306.8394
4485,727626.7059
5028,300740.9772
4341,376483.678
4008,470067.4985
2748,156581.1599
6145,353173.3423
1903,214792.7871
6974,507159.1507
5691,578051.277
6741,432179.2694
1524,201150.2466
3272,110294.775
6691,323162.2459
1960,182808.4471
2027,166949.991
5972,374546.7069
4939,325228.2416
3308,101200.0991
6514,367534.6529
2902,151847.9263
4157,437594.4926
5360,297256.5871
4369,322050.2796
5896,395024.0609
55,133676.534
5868,442888.6542
1261,265171.2807
2327,183177.725
340,146723.0108
3473,256751.1774
3506,398669.8832
3035,170808.2439
1727,173075.952
1325,95078.5366
4150,285727.0871
5707,705372.4253
2018,248336.565
482,257001.1014
3811,286637.342
5131,439796.0716
6751,671258.9396
4230,423666.1849
1810,196299.6935
3888,530368.3448
671,121786.8176
6458,883958.615
6419,284620.829
1421,185540.2315
4248,492346.072
187,259413.6359
3039,99931.23778
6729,299913.9487
1477,240991.5035
6088,334478.0946
3747,317819.7604
2471,122559.9246
1802,262745.4824
6332,801352.1832
3636,349805.471
1512,249935.6617
6710,713417.5022
3677,562160.7089
5147,373180.0435
3662,385714.3105
3812,477183.1747
236,170448.1784
4284,432094.8602
6497,318944.5628
4631,397836.7671
2359,234473.6827
5429,531136.7027
6267,339013.2837
5287,382471.2411
4301,377300.6063
6488,380442.7325
5659,338560.184
4477,305972.3126
1444,212369.7208
1928,234615.5798
2894,166306.0265
468,121533.3732
5501,444712.8941
1649,221231.2416
5557,507210.8837
2133,207749.5349
3668,558091.1803
2611,194669.4038
418,272776.072
1702,147459.0361
6784,310305.5598
3419,222939.7391
950,185133.6985
1129,145718.0224
3737,560068.1806
6065,366513.0724
2973,221653.0451
437,255615.0412
6557,599226.4555
2265,252574.0625
4356,377664.7339
6618,448917.0742
1436,250327.6615
2893,228686.6121
6093,369157.1951
6756,385316.8073
2823,254961.9937
4902,617207.559
4130,336337.8924
534,126206.8993
821,279107.4169
1848,206938.7614
1571,132458.2991
5862,364915.3492
883,245724.4255
2382,231333.2593
3876,339460.7397
1417,152646.3897
1563,102361.1318
175,220458.9936
5304,521954.8921
1995,211981.4799
5849,381488.4294
2801,253804.8412
6607,335134.4955
6003,313336.8343
2634,261671.7439
6340,302138.7007
1542,112889.549
2989,260559.2202
1433,112953.986
4165,344545.4984
4883,340097.7088
4534,301088.7893
1646,174163.6594
630,218691.7563
2242,191458.4188
909,180672.84
5802,418497.7631
1925,225568.9205
6389,675129.4253
4877,448702.2285
5612,315702.0311
5642,282253.0256
2416,217917.5136
6855,354191.3722
5902,625194.5566
64,260609.8094
6999,438060.8193
5644,506924.7007
619,237392.0616
3690,355199.2606
5760,436641.5751
216,208841.2735
3632,381358.9809
6014,387483.377
6234,339842.077
2527,150525.8601
6564,287025.2124
5508,314516.4965
6330,597936.86
6112,351567.7913
5425,591379.3687
