,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Floors,Windows,PreviousSalePrice,IsLuxury,Fireplace_Yes,HouseColor_Green,HouseColor_Red,HouseColor_White,HouseColor_Yellow,Garage_Yes
1825,995.09,1.435217015,3,106.72,0.57,8.05,53.69,10.07,93.47,0.45,6.7,6.92,8.93,1,9,201390.223,0,0,0,0,0,1,0
5240,1287.48,2.631835288,3,517.81,28.34,5.86,80.89,22.77,95.98,1.85,6.93,7.99,10.0,2,43,378905.4629,1,0,0,0,0,0,0
3099,1127.92,2.834585205,2,586.47,28.67,7.02,4.5,45.03,92.94,1.58,6.58,7.72,9.95,2,19,272396.5937,0,0,0,0,0,0,1
686,890.77,1.880485466,3,1208.82,13.4,9.52,34.36,12.34,99.25,0.98,10.0,8.38,3.35,1,11,218802.3833,0,1,0,0,1,0,0
5005,1616.97,3.167565509,4,418.23,19.05,5.79,79.66,1.12,97.52,2.69,3.97,3.49,6.33,1,17,476373.9145,1,0,0,0,0,0,0
5769,1320.61,2.136641677,4,483.65,34.88,10.0,111.94,35.85,99.51,0.86,7.27,10.0,9.02,1,13,452739.7733,1,0,0,0,0,1,1
4460,1165.91,2.317669367,3,421.65,2.2,6.9,69.4,37.51,96.08,1.49,2.53,3.17,4.59,1,20,352907.8768,1,0,1,0,0,0,1
3042,550.0,1.313417098,1,542.42,20.15,3.0,64.23,10.99,99.46,1.62,0.33,5.13,5.62,1,14,196930.2725,1,0,0,0,0,0,0
6470,845.62,1.927832182,3,535.27,2.63,6.37,49.22,9.27,94.01,2.35,3.44,7.06,6.16,1,15,222034.025,1,0,0,0,0,1,0
973,1246.25,1.0,2,429.54,24.7,7.41,91.27,18.66,99.88,1.52,4.02,6.45,6.63,1,14,61520.94507,0,0,1,0,0,0,1
1766,1299.69,1.085453162,3,424.48,23.92,6.22,43.32,24.3,90.26,1.05,6.81,4.76,5.15,2,30,109262.9466,0,1,1,0,0,0,0
3012,550.0,1.0,2,476.85,52.05,7.56,25.66,30.69,89.3,0.8,4.02,9.16,7.49,2,28,25490.11079,0,0,0,0,1,0,1
3406,1161.44,1.0,2,467.44,23.12,7.1,58.85,18.02,97.49,1.49,4.28,5.98,6.25,1,13,132669.9311,0,0,1,0,0,0,0
3417,1266.2,2.044446471,2,504.35,7.87,6.1,35.1,1.06,93.01,1.51,4.44,4.7,5.19,1,16,193778.8479,0,0,0,0,0,0,0
1147,550.0,3.598538832,2,559.69,19.08,6.45,66.33,11.86,92.68,1.68,4.09,4.77,5.42,1,10,112398.2367,0,1,0,1,0,0,0
4021,1161.33,2.0872523,4,431.2,25.92,10.0,18.75,0.38,93.11,1.8,8.41,8.89,7.94,1,16,618510.8928,1,0,1,0,0,0,0
492,550.0,2.647041953,3,574.77,42.01,6.45,57.96,30.3,99.9,2.1,1.94,7.96,5.94,1,4,111483.7929,0,0,0,0,0,1,0
1519,550.0,3.827662068,2,566.81,17.82,4.89,54.37,6.93,84.49,1.23,4.43,2.21,5.83,2,23,170146.937,0,0,0,0,0,0,0
5912,1485.34,4.012901604,3,383.98,67.23,8.31,70.23,0.04,95.14,1.26,5.56,7.81,5.64,2,25,725765.1558,1,0,1,0,0,0,0
1114,550.0,1.528832085,3,263.71,7.25,7.99,51.74,2.29,88.33,1.45,2.54,5.21,4.65,1,11,33154.04599,0,0,0,0,0,0,0
636,550.0,1.0,3,394.66,0.76,4.56,78.51,15.41,92.5,0.77,3.5,4.61,7.65,1,10,64620.33287,0,0,0,1,0,0,0
6826,1455.1,2.90820248,2,319.95,17.4,9.14,38.76,6.0,99.9,1.11,7.09,1.36,3.17,1,2,372130.2171,0,0,0,0,0,1,1
81,806.38,1.192640201,3,833.94,15.79,3.63,93.14,37.27,89.26,1.33,3.31,5.88,3.69,1,13,169236.9098,0,1,1,0,0,0,1
6308,746.71,1.838094139,3,1044.52,7.06,8.17,14.67,4.41,95.44,1.66,7.93,5.15,3.85,1,23,191907.8503,0,0,0,0,1,0,1
2899,1233.61,1.0,3,871.0,28.97,7.37,60.94,40.73,94.55,1.03,2.86,2.21,6.58,1,16,145844.9039,0,0,1,0,0,0,0
3239,1285.27,1.0,3,464.33,6.6,6.06,94.56,3.53,93.27,0.94,4.45,6.4,7.1,1,10,110194.4491,0,1,0,0,1,0,0
5919,952.63,3.208535306,4,417.99,26.62,7.08,6.15,2.2,92.29,1.67,4.32,9.36,4.56,1,11,399781.2627,0,1,0,0,0,0,0
3290,1012.98,1.0,3,78.91,24.08,6.34,56.22,44.14,99.9,1.67,1.69,6.17,7.1,1,17,92394.74314,0,0,0,0,1,0,1
6248,1001.56,1.384357791,2,263.57,30.18,5.05,22.73,30.35,99.9,1.79,4.94,5.93,5.65,1,19,250712.6423,1,0,1,0,0,0,0
72,550.0,1.502869262,2,349.55,39.72,4.56,107.8,21.23,92.7,1.51,5.93,6.95,8.36,1,23,129518.3305,0,0,0,0,1,0,1
5852,1729.89,3.919109393,5,190.17,12.56,10.0,63.05,1.84,99.9,1.08,7.99,10.0,5.74,1,14,705508.7934,1,1,0,0,0,1,1
2934,807.19,1.848963249,2,81.26,24.9,4.73,32.7,3.35,99.9,1.45,3.36,7.11,8.68,1,16,151247.5671,0,1,0,0,0,0,0
3134,676.73,1.543180965,2,51.05,31.93,3.82,88.68,27.47,90.24,1.46,3.45,2.5,1.11,1,9,69362.60978,0,1,0,0,0,1,0
1247,1573.4,1.27438748,1,316.47,30.65,1.31,132.14,55.33,93.88,2.53,0.9,3.09,2.64,1,12,73370.38941,0,0,0,0,1,0,0
6169,1505.2,3.235635384,3,272.18,28.07,7.8,33.34,6.42,95.75,1.88,7.63,4.18,5.57,2,37,418399.8419,0,0,0,0,0,0,1
6546,1236.71,2.912969478,5,485.91,37.01,9.55,73.44,13.5,94.76,1.44,7.27,6.86,6.42,1,27,723899.6336,1,0,0,1,0,0,0
6277,1070.66,2.718867575,4,253.99,19.08,8.53,42.25,38.3,90.01,1.71,5.51,0.63,1.96,1,14,379133.1527,1,0,1,0,0,0,0
5851,1519.89,2.924498412,3,848.64,20.01,6.66,58.39,16.04,93.53,1.54,5.09,4.07,4.99,1,13,455651.7302,1,0,0,0,1,0,0
3194,550.0,1.0,3,245.38,12.0,6.75,45.91,18.71,83.68,2.05,0.86,9.59,6.62,1,10,19465.29387,0,0,0,0,0,1,1
6000,1946.47,2.650385947,2,451.62,31.92,6.08,16.2,19.2,92.41,1.74,7.14,3.32,6.07,1,8,346804.7104,1,0,0,0,0,0,0
1078,680.06,1.0,2,783.6,46.06,7.88,93.92,5.5,98.68,1.4,6.18,7.54,10.0,1,18,111407.4702,1,1,1,0,0,0,0
4839,1420.97,2.593023666,3,888.93,47.68,9.17,28.61,9.92,89.75,0.64,9.72,4.57,9.36,1,10,931933.1905,1,1,0,0,1,0,0
1384,1208.86,1.319678246,2,661.44,23.08,6.78,19.06,7.21,96.65,1.95,4.8,5.16,4.2,1,15,156471.3979,0,0,0,0,0,1,1
6959,1115.69,3.70343562,3,244.51,19.22,7.53,19.15,48.23,91.04,1.2,6.97,8.09,9.64,1,8,533788.4968,1,0,1,0,0,0,1
4531,1079.63,2.007435553,3,200.42,26.78,8.37,35.27,37.03,90.24,1.87,6.03,5.01,5.84,1,16,423424.6655,1,0,0,0,0,1,1
756,1503.95,1.506417168,3,652.72,64.63,1.57,82.0,22.69,85.68,0.94,2.84,6.53,3.65,1,20,224864.7927,1,1,0,0,0,1,0
1936,987.69,2.700844598,2,317.43,8.22,5.37,117.41,18.55,90.96,1.44,3.63,5.8,5.35,1,6,282806.4098,0,0,0,1,0,0,1
2968,1382.16,1.877179032,3,918.85,13.57,6.48,0.2,22.35,85.05,1.98,5.77,2.68,6.13,2,31,294650.1092,0,0,0,0,0,0,0
1851,550.0,1.734906141,5,595.84,33.9,9.93,13.87,23.75,94.54,0.46,5.77,6.66,7.3,2,46,317736.4914,0,1,1,0,0,0,0
3977,1239.85,3.216056701,2,47.58,28.45,5.41,33.02,33.92,95.04,1.27,4.68,4.41,5.0,1,12,561533.7278,1,0,1,0,0,0,0
1604,637.66,1.144810167,4,427.73,30.98,7.1,47.63,45.46,96.19,1.12,2.59,6.55,6.19,1,6,143789.1121,0,0,0,0,0,1,1
4365,1662.43,2.539909737,4,598.62,27.67,10.0,23.05,11.45,99.9,1.28,7.49,10.0,8.31,1,24,754027.661,0,1,1,0,0,0,1
2215,915.44,1.812798787,3,251.03,17.28,6.89,23.57,18.69,94.19,1.58,2.97,4.07,5.81,1,24,217664.4186,0,1,0,0,0,1,1
1023,1051.16,1.44919812,4,98.68,30.04,8.61,76.48,36.41,89.29,1.37,7.38,10.0,4.97,1,8,265833.6449,0,0,0,0,1,0,0
5390,550.0,2.563404223,4,396.22,51.98,7.59,44.52,24.35,91.26,0.57,7.28,6.26,4.75,1,10,384880.3671,1,1,0,0,0,1,0
3316,690.87,1.38590819,2,313.82,36.82,5.43,149.3,16.13,94.36,1.14,3.01,4.76,3.62,1,7,83084.07948,0,0,0,0,0,1,0
1987,550.0,2.859520907,4,727.82,36.87,9.45,25.26,13.54,95.83,1.66,5.02,4.62,6.61,1,17,211106.8653,0,0,0,1,0,0,1
5444,1609.6,1.558970451,3,963.22,31.99,7.48,45.52,30.62,94.76,1.38,3.65,3.18,5.3,2,59,337158.9324,1,0,0,0,0,0,0
6899,573.09,1.0,4,71.09,25.32,8.71,64.07,25.99,99.02,1.32,7.71,4.78,6.0,1,2,154713.7239,1,0,1,0,0,0,0
4652,1964.22,3.829206176,3,587.32,29.28,7.03,4.3,7.01,88.0,2.04,8.86,5.93,5.24,1,23,508203.6968,1,0,0,0,0,0,1
3698,1093.37,3.634401002,3,640.98,51.03,5.49,44.31,17.41,99.9,1.23,7.08,7.22,5.81,1,14,482829.9785,0,0,0,1,0,0,0
6676,1438.6,1.972614097,5,106.4,8.61,9.09,11.53,10.67,96.44,2.16,6.77,7.98,5.63,1,22,578444.8987,1,0,0,0,0,1,1
2529,550.0,1.0,3,589.75,29.66,6.15,101.9,22.36,92.29,1.42,6.03,4.62,5.41,1,7,51581.59873,0,0,0,0,0,0,0
3908,1180.85,2.464266351,4,134.27,18.45,7.72,29.48,23.92,92.63,1.54,5.75,8.24,6.52,1,10,436577.5188,1,0,1,0,0,0,1
684,897.47,1.479155571,3,112.36,46.24,6.05,48.85,9.88,97.7,1.91,2.04,2.62,7.84,1,13,85924.57459,0,1,0,0,0,0,1
5614,1177.49,1.226719698,3,863.48,46.36,4.74,15.19,5.39,89.91,2.28,3.66,8.96,8.91,2,19,286376.455,1,0,0,0,0,0,0
389,550.0,2.17305181,1,357.36,36.28,5.55,15.72,11.95,93.35,1.59,3.05,6.98,5.06,1,15,156793.0892,0,1,0,0,0,1,1
1576,1018.85,2.096184823,3,340.4,27.25,6.15,74.12,28.91,89.68,2.33,3.83,10.0,9.5,1,5,457585.2415,0,0,0,0,1,0,0
3822,1871.75,3.072478137,4,633.05,46.58,10.0,6.9,9.96,99.9,1.26,9.89,5.49,5.43,1,14,1226585.711,1,0,0,0,1,0,1
2188,550.0,1.0,2,549.99,42.22,6.28,72.57,20.89,89.07,2.57,4.23,3.91,5.08,1,11,150821.7656,0,1,0,1,0,0,1
6156,1286.97,2.033952514,3,536.78,38.73,9.15,21.45,11.17,95.0,1.73,5.13,3.07,2.9,1,10,337367.7995,1,0,0,0,1,0,0
3722,2186.62,2.246921428,3,741.75,25.63,9.17,11.33,20.19,98.01,1.15,8.01,10.0,9.1,1,29,421793.7201,1,0,0,0,0,1,1
4738,1478.31,2.930593053,3,384.55,28.23,9.21,74.89,8.07,88.83,1.15,6.75,8.26,7.41,2,34,412821.1163,1,0,1,0,0,0,1
1759,550.0,2.284199265,3,684.24,8.52,2.48,24.54,6.81,98.1,1.78,2.6,6.49,4.38,1,12,40421.27487,1,0,0,0,1,0,0
1005,550.0,3.520286728,4,345.02,37.23,7.39,52.51,31.66,93.75,2.04,3.39,2.98,4.27,1,8,170401.6724,1,0,0,0,1,0,0
1483,550.0,1.591872956,3,470.25,48.26,5.31,82.59,14.52,91.3,1.3,3.31,7.03,3.0,1,15,33087.15146,0,1,0,0,0,1,0
1961,1154.99,3.00564649,3,519.21,21.72,7.22,56.55,22.92,97.49,1.7,5.38,5.94,4.95,1,18,319065.9759,0,0,1,0,0,0,0
3544,939.61,1.061996769,4,419.2,10.14,8.7,62.77,2.35,82.76,0.46,3.24,3.05,6.72,1,9,299673.1726,1,0,0,0,0,1,0
22,550.0,1.0,3,272.3,27.42,4.44,7.61,9.93,92.87,2.27,3.76,7.98,3.28,1,16,85251.07949,0,0,0,0,0,1,1
4640,550.0,3.313235663,5,424.1,25.76,5.82,73.57,0.21,99.9,0.65,7.01,6.16,6.81,1,16,412305.0067,1,0,0,1,0,0,0
6265,1084.84,2.207523134,3,644.13,43.47,5.62,23.27,11.83,94.36,0.81,5.69,9.11,6.09,2,36,482427.0707,1,0,0,1,0,0,0
5990,1219.82,3.566419789,4,534.57,21.92,8.44,77.86,32.93,89.46,0.76,6.97,1.19,2.19,1,4,437429.6405,0,0,0,0,1,0,0
2331,638.87,1.165301113,2,418.58,22.36,6.47,139.46,29.92,98.38,1.64,3.63,3.12,4.55,1,14,94836.59945,0,0,0,1,0,0,1
3619,550.0,1.780297087,4,447.39,27.65,8.65,23.59,33.71,98.95,1.84,4.89,8.05,5.57,2,20,233843.1976,1,1,0,1,0,0,0
4421,734.98,2.791589181,4,757.53,24.24,5.29,33.47,10.43,92.73,0.73,5.59,5.0,4.25,2,29,357857.4505,1,0,0,0,0,0,1
4015,1463.73,3.3484204,4,738.76,20.99,7.2,26.96,23.74,88.08,1.7,5.7,9.47,6.99,1,23,549787.1598,0,0,0,0,0,1,0
5918,550.0,3.424775475,4,473.01,15.86,6.98,9.74,5.39,93.84,1.97,3.37,2.13,8.74,1,21,275354.399,1,0,0,0,0,0,0
2506,1527.26,1.0,3,764.46,76.92,6.93,157.41,43.17,87.38,2.08,4.24,5.37,7.42,1,10,120338.513,1,0,0,1,0,0,0
3810,1597.38,2.987663536,4,376.09,24.5,10.0,15.7,5.79,99.9,2.39,7.02,9.11,3.68,2,34,455420.9381,1,1,0,1,0,0,0
2885,550.0,3.924223733,1,621.84,52.63,5.68,89.9,6.02,90.35,1.92,6.11,9.13,4.96,1,12,39142.10022,0,1,0,1,0,0,0
1503,1005.49,2.313534372,2,330.77,36.35,10.0,13.63,16.66,96.17,2.01,4.65,8.38,5.53,1,17,166379.8208,0,1,0,1,0,0,1
3831,1789.32,2.146673218,3,960.32,21.04,10.0,14.75,17.55,95.39,1.16,5.07,8.01,5.68,1,9,502549.1675,1,0,0,0,0,1,0
689,812.11,1.0,4,531.14,32.76,8.34,30.63,18.92,85.3,1.74,5.17,6.07,6.51,1,3,181399.4596,0,0,1,0,0,0,0
5099,1077.67,3.281676625,3,603.2,60.19,7.8,19.94,1.17,96.39,1.54,4.25,6.09,2.95,2,34,305521.7101,1,0,0,0,0,1,0
3296,550.0,1.906439286,4,696.05,26.2,7.99,49.63,38.01,95.69,1.36,4.55,1.54,6.55,2,32,278770.7854,0,0,0,0,0,0,0
445,760.38,2.082660511,2,412.28,18.79,5.64,52.42,13.73,92.11,1.43,4.36,7.59,4.95,1,9,156843.2499,0,1,0,1,0,0,0
1447,550.0,1.003707114,3,574.79,0.28,5.89,38.07,24.19,89.1,1.71,1.65,3.97,2.97,1,17,188246.5351,1,0,0,0,0,0,0
4999,1016.92,2.089748088,3,255.18,26.51,5.46,15.09,12.43,96.81,1.05,4.44,4.25,5.28,1,19,215788.8395,1,0,0,0,0,1,1
2900,641.2,1.0,3,630.4,27.42,6.66,71.38,0.09,97.46,2.32,5.67,0.32,3.78,1,-2,112407.1559,0,0,0,1,0,0,1
1399,697.21,1.0,4,551.48,35.19,5.16,46.19,6.19,99.9,1.62,5.64,4.27,4.65,1,9,297672.5866,0,0,0,1,0,0,1
5439,641.69,1.695263885,5,771.15,8.62,9.46,70.01,8.31,98.12,0.97,3.8,8.83,10.0,1,4,363343.8385,1,1,0,0,0,0,0
4614,713.17,1.768622862,3,133.48,53.55,4.7,79.27,41.13,97.9,1.79,4.95,6.28,9.6,1,13,212024.2535,1,0,1,0,0,0,1
273,819.25,1.302362825,4,433.41,28.49,8.11,9.19,12.34,90.43,2.7,5.75,5.15,5.82,1,10,168930.8184,0,1,0,1,0,0,0
6744,1956.12,3.46170632,4,740.73,17.69,9.04,119.21,19.65,92.85,1.38,5.55,3.69,5.69,1,17,818970.1592,1,0,0,1,0,0,1
6402,1783.22,1.264546204,4,383.22,4.02,10.0,2.77,21.35,91.0,1.42,6.52,5.08,2.99,1,15,541233.4832,1,1,1,0,0,0,1
5952,1388.44,1.35134792,4,606.26,5.27,7.18,48.47,5.62,81.13,2.06,5.91,6.29,8.92,1,6,326300.5592,1,0,1,0,0,0,1
3339,1580.25,1.0,3,388.2,65.62,7.57,4.15,18.67,92.22,0.78,2.08,2.16,4.93,1,4,183573.3044,0,0,0,0,0,1,0
4141,1315.47,2.830245502,3,532.28,32.95,4.8,36.99,14.88,81.89,1.29,5.58,10.0,6.05,1,5,363874.1095,1,0,0,0,0,1,0
605,550.0,1.0,3,205.84,81.87,6.23,66.47,36.86,89.24,1.13,1.08,8.6,6.51,2,23,89841.08722,1,0,0,0,0,0,0
4195,1301.39,3.713245872,2,432.03,47.65,3.77,21.04,9.37,85.3,1.05,3.89,5.54,6.4,1,14,296802.1887,1,0,1,0,0,0,0
4816,1426.81,2.316594624,2,573.88,56.06,8.0,0.84,6.24,99.48,0.93,4.97,8.97,9.22,3,48,323736.1922,1,0,0,1,0,0,1
1532,1572.71,1.0,1,323.24,61.86,3.34,85.1,1.45,94.68,1.17,3.23,3.31,4.37,1,22,64312.6194,0,0,0,0,1,0,0
1873,550.0,1.0,3,126.98,57.93,5.0,55.17,5.42,87.98,1.43,3.4,3.92,5.3,1,20,63848.08423,0,1,1,0,0,0,0
6326,1871.96,2.235400181,3,210.36,30.99,9.83,20.9,16.52,95.93,0.84,5.85,7.48,9.65,1,17,464267.2365,1,0,0,0,0,0,0
1536,696.7,1.0,1,628.28,82.93,4.41,78.26,26.03,96.45,2.19,4.17,6.77,9.1,1,14,105769.3945,0,1,0,0,0,0,0
4627,2405.6,4.261199035,5,171.16,38.32,8.09,37.58,0.33,93.93,1.24,5.79,0.71,3.34,1,11,681414.252,1,0,0,0,0,1,0
359,960.39,2.285729073,1,56.01,48.45,5.06,45.56,19.38,99.9,1.57,4.89,7.54,6.93,1,14,2548.52884,0,0,0,0,0,0,1
6878,1280.95,2.50391325,5,824.24,49.04,10.0,6.26,14.41,93.46,0.54,10.0,9.66,5.02,1,22,517856.6916,1,1,0,0,0,0,0
2093,867.61,1.0,3,154.71,14.86,6.15,70.8,16.75,90.87,1.87,3.64,6.37,4.35,2,27,114759.2602,0,1,1,0,0,0,1
6728,1316.24,2.562856417,2,417.11,8.5,7.52,41.5,11.03,92.38,1.8,6.88,8.41,4.81,2,29,432857.0727,1,1,0,0,0,1,1
486,566.19,2.457386635,4,404.67,20.9,8.36,67.93,15.06,84.96,1.94,6.33,9.69,6.79,1,14,222656.7405,0,0,0,0,1,0,1
6299,916.98,3.159317182,3,304.61,41.97,8.37,10.82,18.31,96.88,1.45,7.51,7.38,6.81,1,17,274846.088,1,0,0,0,1,0,0
4045,1237.24,1.478187067,3,424.39,22.88,9.35,68.02,13.49,95.79,2.11,4.29,6.97,4.4,2,26,242799.3579,1,0,0,0,0,1,0
5377,974.62,1.0,3,96.39,0.56,9.53,14.19,15.75,96.06,1.74,8.12,8.01,7.54,1,13,218180.5817,1,1,0,0,0,0,1
574,550.0,1.0,3,201.94,54.91,7.78,89.17,1.68,87.81,1.26,4.14,4.54,8.52,1,14,104889.4103,0,1,0,0,1,0,1
3005,550.0,1.0,4,704.2,10.5,7.74,47.86,11.14,86.86,1.6,4.97,3.89,4.37,1,-1,130667.2967,0,0,1,0,0,0,0
5631,860.5,4.537739721,3,358.51,43.81,6.39,24.19,16.15,81.04,1.09,7.39,4.54,4.2,1,7,546800.4983,1,1,1,0,0,0,0
6095,1097.15,4.114637488,4,295.28,29.97,10.0,13.81,25.77,99.9,1.1,9.9,8.8,5.81,1,19,526382.1402,1,1,0,0,0,0,1
501,683.04,1.0,2,245.15,23.32,3.77,32.35,15.52,90.57,2.02,2.25,5.6,7.04,1,21,18105.07791,0,1,0,0,0,0,0
3223,769.22,2.062418033,3,253.26,16.83,3.95,75.27,18.98,86.2,2.28,2.5,4.73,5.95,2,24,200613.204,1,0,0,0,1,0,1
5414,1366.61,2.647721577,2,457.34,14.45,7.23,73.92,12.84,91.76,0.53,6.34,2.93,9.84,1,14,287685.426,1,1,0,0,0,0,0
6154,550.0,3.560778235,4,177.98,52.63,8.65,52.73,15.3,88.72,2.11,3.54,4.75,7.72,1,3,310990.5983,0,0,0,0,1,0,0
1990,937.62,1.0,2,860.75,41.36,7.11,68.24,27.95,96.29,2.18,2.76,7.76,7.65,1,6,10745.49194,0,0,0,0,0,1,1
1771,550.0,1.0,1,472.17,2.96,5.91,18.29,16.01,93.16,0.69,2.23,7.46,5.54,1,15,269025.558,0,0,0,1,0,0,0
4447,1438.56,2.755736285,3,516.27,27.02,10.0,102.49,22.85,92.65,1.51,7.52,5.34,4.71,1,12,683446.9625,1,0,0,0,1,0,0
6624,1721.87,3.242961834,3,660.06,20.47,9.07,3.57,1.02,91.7,0.63,7.82,6.53,7.25,1,17,413150.8428,1,0,0,1,0,0,0
3554,550.0,1.315424828,2,935.23,51.79,1.43,63.93,20.88,91.9,2.66,4.48,7.24,5.27,1,14,176339.6105,1,0,1,0,0,0,0
3883,1915.77,1.107585888,4,651.22,43.37,8.57,77.12,7.49,96.86,0.53,7.71,6.06,5.91,1,18,618672.2216,1,0,0,0,0,1,1
5416,1197.95,1.477818763,4,424.29,2.54,7.63,39.78,0.78,88.94,0.88,4.82,7.44,7.0,1,30,466482.3,1,0,0,0,0,1,1
82,550.0,1.814669984,4,802.1,17.39,7.88,74.58,21.37,82.0,2.57,3.19,2.75,6.76,1,10,207038.5091,1,0,0,0,0,0,0
2296,550.0,2.278506113,1,960.96,46.99,2.88,81.66,32.42,92.64,2.05,2.76,3.24,4.7,1,14,115431.6352,0,0,0,0,0,1,0
2040,1441.96,1.022996883,4,725.81,16.34,7.19,22.21,32.42,98.6,1.32,7.28,8.3,7.61,1,15,403164.9256,0,1,0,0,0,1,1
6174,1487.78,1.275482758,3,241.84,19.82,8.5,7.82,11.6,99.9,1.65,6.47,5.84,7.36,1,19,295256.5831,1,0,0,0,0,1,0
1502,550.0,1.548950996,2,424.07,43.05,3.52,16.06,26.29,91.82,2.42,1.57,8.09,7.78,1,12,67696.06394,0,0,0,0,0,0,1
196,550.0,1.300354412,2,324.23,49.83,3.94,70.19,15.66,96.02,1.76,2.49,4.62,4.95,1,11,371648.4558,0,0,0,0,1,0,0
4246,1029.83,1.623794737,4,393.99,49.11,7.09,46.67,17.87,92.3,1.18,3.85,6.94,7.21,1,8,478800.6474,1,1,0,0,0,1,0
3169,671.51,1.0,2,325.08,31.88,4.82,15.21,13.73,95.14,1.55,1.3,3.2,3.97,1,14,12513.75577,0,0,0,0,0,0,1
3867,973.77,1.814834477,4,21.96,2.2,6.5,33.45,1.71,99.17,1.8,6.27,7.15,6.28,1,5,373239.1861,1,0,0,0,0,0,0
4136,1036.36,2.280949558,4,155.28,23.66,7.87,9.21,7.29,90.73,1.51,4.37,6.67,6.44,1,3,327644.904,0,1,0,1,0,0,0
5666,1070.45,3.491750395,3,1023.25,19.79,7.48,55.78,5.05,94.06,0.67,4.4,8.13,7.12,1,7,392821.9097,1,0,0,0,0,1,0
6173,839.98,3.0861423,3,770.73,24.32,9.39,54.16,8.64,99.2,1.27,8.42,10.0,6.88,1,12,498755.5151,1,0,0,0,0,0,0
